Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Average depth found,Primary foraging behavior,Commercial status,Aquaculture status,Recreational status,IUCN status,Vulnerability score,Oceanographic province,Year of collection,Publication year,Reference,Quantified microplastic,Method type,Marine/estuarine,Equipment used,Capture purpose,Polymer confirmation,Blanks used,Clean lab procedures used
Parascolopsis eriomma,Rosy dwarm monocle bream,Perciformes,Nemipteridae,3.5,3,5,0.6,0.6,demersal,144.5,Benthic foraging,subsistence,N,N,Not assessed,30,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Plectorhinchus gaterinus,Blackspotted rubberlip,Perciformes,Haemulidae,4,2,6,0.333333333,0.333333333,reef-associated,,Active predation,commercial,N,Y,Not assessed,41,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Pristipomoides multidens,Goldbanded jobfish,Perciformes,Lutjanidae,3.8,2,10,0.2,0.2,demersal,200,Benthic foraging,commercial,N,N,LC,43,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Pristipomoides typus,Sharptooth jobfish,Perciformes,Lutjanidae,4.2,0,5,0,0,demersal,80,Active predation,minor commercial,N,N,LC,39,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Pygoplites diacanthus,Regal angelfish,Perciformes,Pomacanthidae,2.7,0,5,0,0,reef-associated,40,Benthic foraging,minor commercial,N,N,LC,46,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Sargocentron spiniferum,Sabre squirrelfish,Beryciformes,Holocentridae,3.6,0,5,0,0,reef-associated,61.5,Benthic foraging,minor commercial,N,N,LC,40,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Thalassoma rueppellii,Klunzinger's wrasse,Perciformes,Labridae,3.5,1,12,0.083333333,0.083333333,reef-associated,15.5,Benthic foraging,none,N,N,LC,29,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Vinciguerria mabahiss,,Stomiiformes,Phosichthyidae,3.1,0,10,0,0,bathydemersal,250,,none,N,N,Not assessed,10,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes
Trachinotus ovatus,Pompano,Perciformes,Carangidae,3.7,28,115,0.243478261,0.260869565,pelagic-neritic,125,Benthic foraging,minor commercial,Y,Y,LC,41,MEDI,2012,2016,Battaglia et al. 2016,Y,2,marine,trolling lines,plastic study,none,not described,not described
Mullus barbatus,Red mullet,Perciformes,Mullidae,3.1,24,128,0.1875,0.28,demersal,200,Benthic foraging,commercial,N,Y,LC,29,MEDI,2014,2016,Bellas et al. 2016,Y,3,marine,bottom trawls,plastic study (not listed),none,open-air lab control,yes
Merluccius merluccius,European hake,Gadiformes,Merluccidae,4.4,2,12,0.166666667,0.25,demersal,235,Active predation,highly commercial,N,N,LC,64,NECS,2014,2016,Bellas et al. 2016,Y,3,marine,bottom trawls,plastic study (not listed),none,open-air lab control,yes
Scyliorhinus canicula,Lesser spoted dogfish,Carcharhiniformes,Scyliorhinidae,3.8,11,72,0.513888889,0.23,demersal,100,Active predation,minor commercial,N,N,LC,62,NECS,2014,2016,Bellas et al. 2016,Y,3,marine,bottom trawls,plastic study (not listed),none,open-air lab control,yes
Opisthonema sp.,,Clupeiformes,Clupeidae,,30,30,1,36.66666667,,,,,,,,,CAMR,October of 2018,2019,Bermudez-Guzman et al. 2019,Y,3,marine,purse seine,commercial fishing,FTIR and SEM,lab blank,vaguely mentioned
