,Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Average depth found,Primary foraging behavior,Commercial status,Aquaculture status,Recreational status,IUCN status,Vulnerability score,Oceanographic province,Year of collection,Publication year,Reference,Quantified microplastic,Method type,Marine/estuarine,Equipment used,Capture purpose,Polymer confirmation,Blanks used,Clean lab procedures used,parsed_date,Risk_0_3,Risk_0_5,Risk_0_10,Risk_0pt5_5,Risk_0pt5_10,Risk_1_5,Risk_1_10,Risk_3_10,Risk_5_10
418,Rhizoprionodon lalandii,Brazilian sharpnose shark,Carcharhiniformes,Carcharhinidae,4.3,2.0,6.0,0.33,0.67,demersal,36.5,Active predation,commercial,N,N,DD,41.0,BRAZ,May 2011,2016,Miranda and de Carvalho-Souza 2016,Y,2,marine,various,artisanal fishing,none,not described,not described,"(Timestamp('2011-05-01 00:00:00'), Timestamp('2011-05-31 00:00:00'))",1,1,1,1,1,0,0,0,0
419,Scomberomorus cavalla,King mackerel,Perciformes,Scombridae,4.4,5.0,8.0,0.625,2.5,reef-associated,15.0,Particulate feeder,commercial,N,Y,LC,58.0,BRAZ,May 2011,2016,Miranda and de Carvalho-Souza 2016,Y,2,marine,various,artisanal fishing,none,not described,not described,"(Timestamp('2011-05-01 00:00:00'), Timestamp('2011-05-31 00:00:00'))",1,1,1,1,1,1,1,0,0
420,Sphyraena guachancho,Guachanche barracuda,Perciformes,Sphyraenidae,4.4,0.0,1.0,0.0,0.0,pelagic-neritic,50.0,Active predation,commercial,N,N,LC,79.0,BRAZ,May 2011,2016,Miranda and de Carvalho-Souza 2016,Y,2,marine,various,artisanal fishing,none,not described,not described,"(Timestamp('2011-05-01 00:00:00'), Timestamp('2011-05-31 00:00:00'))",0,0,0,0,0,0,0,0,0
421,Boreogadus saida,Polar cod,Gadiformes,Gadidae,3.1,15.0,85.0,0.176470588,0.194117647,demersal,200.0,Particulate feeder,highly commercial,N,N,Not assessed,46.0,BPRL,2015,2018,Morgana et al. 2018,Y,3,marine,trawling,plastic study,FTIR,lab blank,yes,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2015-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
422,Triglops nybelini,Bigeye sculpin,Scorpaeniformes,Cottidae,3.3,24.0,71.0,0.338028169,0.338028169,demersal,400.0,Benthic foraging,none,N,N,Not assessed,21.0,BPRL,2015,2018,Morgana et al. 2018,Y,3,marine,trawling,plastic study,FTIR,lab blank,yes,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2015-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
423,Aphanopus carbo,Black scabbard,Perciformes,Trichiuridae,4.5,0.0,5.0,0.0,0.0,bathypelagic,1000.0,Active predation,highly commercial,N,N,Not assessed,64.0,NECS,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,2,marine,bottom trawls,plastic study,FTIR,open-air lab control,yes,"(Timestamp('2013-11-01 00:00:00'), Timestamp('2014-12-01 00:00:00'))",0,0,0,0,0,0,0,0,0
424,Argentina silus,Greater argentine,Osmeriformes,Argentinidae,3.3,1.0,15.0,0.066666667,0.1,demersal,300.0,Benthic foraging,commercial,N,N,Not assessed,51.0,NECS,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,2,marine,bottom trawls,plastic study,FTIR,open-air lab control,yes,"(Timestamp('2013-11-01 00:00:00'), Timestamp('2014-12-01 00:00:00'))",1,1,1,0,0,0,0,0,0
425,Coryphaenoides rupestris,Round nose grenadier,Gadiformes,Macrouridae,3.5,0.0,5.0,0.0,0.0,bathypelagic,800.0,Active predation,commercial,N,N,CR,67.0,NECS,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,2,marine,bottom trawls,plastic study,FTIR,open-air lab control,yes,"(Timestamp('2013-11-01 00:00:00'), Timestamp('2014-12-01 00:00:00'))",0,0,0,0,0,0,0,0,0
426,Hippoglossus hippoglossus,Halibut,Pleuronectiformes,Pleuronectidae,4.0,0.0,14.0,0.0,0.0,demersal,1025.0,Active predation,commercial,experimental,Y,EN,88.0,NECS,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,2,marine,bottom trawls,plastic study,FTIR,open-air lab control,yes,"(Timestamp('2013-11-01 00:00:00'), Timestamp('2014-12-01 00:00:00'))",0,0,0,0,0,0,0,0,0
427,Lepidorhombus whiffiagonis,Megrim,Pleuronectiformes,Scophthalmidae,4.3,1.0,10.0,0.1,0.1,demersal,400.0,Benthic foraging,highly commercial,N,N,Not assessed,62.0,NECS,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,2,marine,bottom trawls,plastic study,FTIR,open-air lab control,yes,"(Timestamp('2013-11-01 00:00:00'), Timestamp('2014-12-01 00:00:00'))",1,1,1,0,0,0,0,0,0
428,Limanda limanda,Common dab,Pleuronectiformes,Scophthalmidae,3.4,9.0,19.0,0.473684211,1.3,demersal,85.0,Benthic foraging,commercial,N,N,LC,40.0,NECS,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,2,marine,bottom trawls,plastic study,FTIR,open-air lab control,yes,"(Timestamp('2013-11-01 00:00:00'), Timestamp('2014-12-01 00:00:00'))",1,1,1,1,1,1,1,0,0
429,Micromesistius poutassou,Blue whiting,Gadiformes,Gadidae,4.1,0.0,20.0,0.0,0.0,bathypelagic,350.0,Benthic foraging,highly commercial,N,N,Not assessed,34.0,NECS,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,2,marine,bottom trawls,plastic study,FTIR,open-air lab control,yes,"(Timestamp('2013-11-01 00:00:00'), Timestamp('2014-12-01 00:00:00'))",0,0,0,0,0,0,0,0,0
430,Molva molva,Ling,Gadiformes,Lotidae,4.4,0.0,5.0,0.0,0.0,demersal,250.0,Active predation,highly commercial,N,Y,Not assessed,77.0,NECS,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,2,marine,bottom trawls,plastic study,FTIR,open-air lab control,yes,"(Timestamp('2013-11-01 00:00:00'), Timestamp('2014-12-01 00:00:00'))",0,0,0,0,0,0,0,0,0
431,Platichthys flesus,Flounder,Pleuronectiformes,Pleuronectidae,3.3,24.0,47.0,0.510638298,0.8,demersal,50.0,Benthic foraging,commercial,Y,Y,LC,42.0,NECS,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,2,marine,bottom trawls,plastic study,FTIR,open-air lab control,yes,"(Timestamp('2013-11-01 00:00:00'), Timestamp('2014-12-01 00:00:00'))",1,1,1,1,1,0,0,0,0
432,Pleuronectes platessa,European plaice,Pleuronectiformes,Pleuronectidae,3.2,28.0,62.0,0.451612903,0.9,demersal,50.0,Benthic foraging,highly commercial,Y,Y,LC,71.0,NECS,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,2,marine,bottom trawls,plastic study,FTIR,open-air lab control,yes,"(Timestamp('2013-11-01 00:00:00'), Timestamp('2014-12-01 00:00:00'))",1,1,1,1,1,0,0,0,0
433,Pollachius pollachius,Pollock,Gadiformes,Gadidae,4.3,0.0,5.0,0.0,0.0,benthopelagic,100.0,Benthic foraging,commercial,N,Y,LC,59.0,NECS,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,2,marine,bottom trawls,plastic study,FTIR,open-air lab control,yes,"(Timestamp('2013-11-01 00:00:00'), Timestamp('2014-12-01 00:00:00'))",0,0,0,0,0,0,0,0,0
434,Trachurus trachurus,Atlantic horse mackerel,Perciformes,Carangidae,3.7,0.0,5.0,0.0,0.0,pelagic-neritic,150.0,Particulate feeder,highly commercial,N,Y,VU,59.0,NECS,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,2,marine,bottom trawls,plastic study,FTIR,open-air lab control,yes,"(Timestamp('2013-11-01 00:00:00'), Timestamp('2014-12-01 00:00:00'))",0,0,0,0,0,0,0,0,0
435,Boops boops,Bogue,Perciformes,Sparidae,2.8,195.0,337.0,0.578635015,2.17,demersal,50.0,Benthic foraging,highly commercial,N,Y,LC,50.0,MEDI,March 2014-May 2014,2016,Nadal et al. 2016,Y,2,marine,"bottom trawls, purse seine",commercial fishing,none,open-air lab control,yes,"(Timestamp('2014-03-01 00:00:00'), Timestamp('2014-05-01 00:00:00'))",1,1,1,1,1,1,1,0,0
436,Mugil cephalus,Flathead gray mullet,Mugiliformes,Mugilidae,2.5,51.0,70.0,0.73,3.8,benthopelagic,60.0,Benthic foraging,highly commercial,Y,Y,LC,42.0,EAFR,November 2014,2016,Naidoo et al. 2016,Y,2,estuarine,castnet,plastic study,none,open-air lab control,yes,"(Timestamp('2014-11-01 00:00:00'), Timestamp('2014-11-30 00:00:00'))",2,1,1,1,1,1,1,1,0
437,Alosa fallax,Twaite shad,Clupeiformes,Clupeidae,4.0,1.0,1.0,1.0,1.0,pelagic-neritic,250.0,Benthic foraging,minor commercial,N,N,LC,50.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",1,1,1,1,1,0,0,0,0
438,Argyrosomus regius,Meagre,Perciformes,Sciaenidae,4.3,3.0,5.0,0.6,0.8,benthopelagic,300.0,Active predation,commercial,N,Y,LC,67.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",1,1,1,1,1,0,0,0,0
439,Boops boops,Bogue,Perciformes,Sparidae,2.8,3.0,32.0,0.09375,0.09,demersal,50.0,Benthic foraging,highly commercial,N,Y,LC,50.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",1,1,1,0,0,0,0,0,0
440,Brama brama,Atlantic pomfret,Perciformes,Bramidae,4.1,3.0,4.0,0.75,0.67,pelagic-neritic,100.0,Active predation,commercial,N,N,LC,71.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",1,1,1,1,1,0,0,0,0
441,Dentex macrophthalmus,Large-eye dentex,Perciformes,Sparidae,3.5,1.0,1.0,1.0,1.0,benthopelagic,265.0,Benthic foraging,commercial,N,Y,LC,33.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",1,1,1,1,1,0,0,0,0
442,Helicolenus dactylopterus,Blackbelly rosefish,Scorpaeniformes,Sebastidae,3.5,0.0,1.0,0.0,0.0,bathydemersal,375.0,Benthic foraging,commercial,N,N,LC,54.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",0,0,0,0,0,0,0,0,0
443,Lepidorhombus boscii,Four-spot megrim,Pleuronectiformes,Scophthalmidae,3.7,1.0,2.0,0.5,,demersal,403.5,Benthic foraging,minor commercial,N,N,Not assessed,38.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",2,2,2,2,2,2,2,2,2
444,Lepidorhombus whiffiagonis,Megrim,Pleuronectiformes,Scophthalmidae,4.3,0.0,2.0,0.0,0.0,demersal,400.0,Benthic foraging,highly commercial,N,N,Not assessed,62.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",0,0,0,0,0,0,0,0,0
445,Lophius piscatorius,Angler,Lophiiformes,Lophiidae,4.5,1.0,2.0,0.5,0.5,bathydemersal,510.0,Active predation,highly commercial,N,N,LC,72.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",1,1,1,0,0,0,0,0,0
446,Merluccius merluccius,European hake,Gadiformes,Merluccidae,4.4,3.0,12.0,0.25,0.345,demersal,235.0,Active predation,highly commercial,N,Y,LC,64.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",1,1,1,0,0,0,0,0,0
447,Mullus surmuletus,Surmullet,Perciformes,Mullidae,3.5,4.0,4.0,1.0,1.75,demersal,207.0,Benthic foraging,commercial,N,Y,LC,39.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",1,1,1,1,1,1,1,0,0
448,Pagellus acarne,Axillary seabream,Perciformes,Sparidae,3.8,1.0,1.0,1.0,1.0,benthopelagic,70.0,Benthic foraging,commercial,N,Y,LC,43.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",1,1,1,1,1,0,0,0,0
449,Polyprion americanus,Wreckfish,Perciformes,Polyprionidae,4.1,0.0,1.0,0.0,0.0,demersal,200.0,Active predation,minor commercial,N,Y,CR,72.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",0,0,0,0,0,0,0,0,0
450,Raja asterias,Mediterranean starry ray,Rajiformes,Rajidae,3.5,3.0,7.0,0.428571429,0.57,demersal,50.0,Benthic foraging,minor commercial,N,N,NT,32.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",1,1,1,1,1,0,0,0,0
451,Sardina pilchardus,European pilchard,Clupeiformes,Clupeidae,3.1,0.0,12.0,0.0,0.0,pelagic-neritic,100.0,Particulate feeder,highly commercial,N,N,LC,27.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",0,0,0,0,0,0,0,0,0
452,Scomber japonicus,Chub mackerel,Perciformes,Scombridae,3.4,11.0,35.0,0.314285714,0.57,pelagic-neritic,150.0,Particulate feeder,highly commercial,Y,Y,LC,34.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",1,1,1,1,1,0,0,0,0
453,Scomber scombrus,Atlantic mackerel,Perciformes,Scombridae,3.6,4.0,13.0,0.307692308,0.46,pelagic-neritic,200.0,Particulate feeder,highly commercial,N,Y,LC,44.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",1,1,1,0,0,0,0,0,0
454,Scyliorhinus canicula,Lesser spoted dogfish,Carcharhiniformes,Scyliorhinidae,3.8,4.0,20.0,0.2,0.12,demersal,100.0,Active predation,minor commercial,N,N,LC,62.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",1,1,1,0,0,0,0,0,0
455,Solea solea,Common sole,Pleuronectiformes,Soleidae,3.2,0.0,1.0,0.0,0.27,demersal,35.0,Benthic foraging,highly commercial,Y,Y,DD,36.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",1,1,1,0,0,0,0,0,0
456,Torpedo torpedo,Common torpedo,Torpediniformes,Torpedinidae,4.5,0.0,1.0,0.0,0.0,demersal,35.0,Benthic foraging,none,N,N,DD,65.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",0,0,0,0,0,0,0,0,0
457,Trachurus picturatus,Blue jack mackerel,Perciformes,Carangidae,3.3,1.0,29.0,0.034482759,0.03,benthopelagic,337.5,Particulate feeder,commercial,N,N,LC,68.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",1,1,1,0,0,0,0,0,0
458,Trachurus trachurus,Atlantic horse mackerel,Perciformes,Carangidae,3.7,3.0,44.0,0.068181818,0.07,pelagic-neritic,150.0,Particulate feeder,highly commercial,N,Y,VU,59.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",1,1,1,0,0,0,0,0,0
459,Trichiurus lepturus,Largehead hairtail,Perciformes,Trichiuridae,4.4,0.0,1.0,0.0,0.0,benthopelagic,225.0,Active predation,highly commercial,N,N,LC,57.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",0,0,0,0,0,0,0,0,0
460,Trigla lyra,piper gurnard,Scorpaeniformes,Triglidae,3.7,6.0,31.0,0.193548387,0.26,bathydemersal,275.0,Benthic foraging,minor commercial,N,N,LC,63.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",1,1,1,0,0,0,0,0,0
461,Trisopterus luscus,Pouting,Gadiformes,Gadidae,3.7,0.0,1.0,0.0,0.0,benthopelagic,65.0,Benthic foraging,commercial,N,N,Not assessed,44.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",0,0,0,0,0,0,0,0,0
462,Zeus faber,John Dory,Zeiformes,Zeidae,4.5,1.0,1.0,1.0,1.0,benthopelagic,100.0,Active predation,commercial,Y,N,DD,68.0,NAST E,June 2013-July 2013,2015,Neves et al. 2015,Y,2,marine,fish market,"commercial fishing, fish market",FTIR,not described,yes,"(Timestamp('2013-06-01 00:00:00'), Timestamp('2013-07-01 00:00:00'))",1,1,1,1,1,0,0,0,0
463,Acanthurus japonicus,Japan surgeonfish,Perciformes,Acanthuridae,,,,,,reef-associated,10.0,,None,N,N,LC,22.0,CHIN,May of 2018,2019,Nie et al. 2019,Y,3,marine,,artisanal fishing,Raman,not described,yes,"(Timestamp('2018-05-01 00:00:00'), Timestamp('2018-05-31 00:00:00'))",2,2,2,2,2,2,2,2,2
464,Acanthurus lineatus,Lined surgeonfish,Perciformes,Acanthuridae,2.0,,,,,reef-associated,3.0,Grazing,commercial,N,N,LC,24.0,CHIN,May of 2018,2019,Nie et al. 2019,Y,3,marine,,artisanal fishing,Raman,not described,yes,"(Timestamp('2018-05-01 00:00:00'), Timestamp('2018-05-31 00:00:00'))",2,2,2,2,2,2,2,2,2
465,Acanthurus pyroferus,Chocolate surgeonfish,Perciformes,Acanthuridae,2.0,,,,,reef-associated,3.0,Grazing,commercial,N,N,LC,29.0,CHIN,May of 2018,2019,Nie et al. 2019,Y,3,marine,,artisanal fishing,Raman,not described,yes,"(Timestamp('2018-05-01 00:00:00'), Timestamp('2018-05-31 00:00:00'))",2,2,2,2,2,2,2,2,2
466,Balistapus undulatus,Orange-lined triggerfish,Tetraodontiformes,Balistidae,3.4,,,,,reef-associated,26.0,,commercial,N,N,,30.0,CHIN,May of 2018,2019,Nie et al. 2019,Y,3,marine,,artisanal fishing,Raman,not described,yes,"(Timestamp('2018-05-01 00:00:00'), Timestamp('2018-05-31 00:00:00'))",2,2,2,2,2,2,2,2,2
467,Cephalopholis urodeta,Darkfin hind,Perciformes,Serranidae,4.0,,,,,reef-associated,9.0,,subsistence,N,N,LC,14.0,CHIN,May of 2018,2019,Nie et al. 2019,Y,3,marine,,artisanal fishing,Raman,not described,yes,"(Timestamp('2018-05-01 00:00:00'), Timestamp('2018-05-31 00:00:00'))",2,2,2,2,2,2,2,2,2
468,Melichthys vidua,Pinktail triggerfish,Tetraodontiformes,Balistidae,3.4,,,,,reef-associated,32.0,,minor commercial,N,N,Not assessed,34.0,CHIN,May of 2018,2019,Nie et al. 2019,Y,3,marine,,artisanal fishing,Raman,not described,yes,"(Timestamp('2018-05-01 00:00:00'), Timestamp('2018-05-31 00:00:00'))",2,2,2,2,2,2,2,2,2
469,Monocentrus japonica,,,,,,,,,,,,,,,,,CHIN,May of 2018,2019,Nie et al. 2019,Y,3,marine,,artisanal fishing,Raman,not described,yes,"(Timestamp('2018-05-01 00:00:00'), Timestamp('2018-05-31 00:00:00'))",2,2,2,2,2,2,2,2,2
470,Naso brevirostris,Spotted unicornfish,Perciformes,Acanthuridae,2.2,,,,,reef-associated,25.0,,commercial,N,N,LC,33.0,CHIN,May of 2018,2019,Nie et al. 2019,Y,3,marine,,artisanal fishing,Raman,not described,yes,"(Timestamp('2018-05-01 00:00:00'), Timestamp('2018-05-31 00:00:00'))",2,2,2,2,2,2,2,2,2
471,Naso lituratus,Orangespine unicornfish,Perciformes,Acanthuridae,2.3,0.0,,0.0,0.0,reef-associated,17.5,Grazing,minor commercial,N,N,LC,34.0,CHIN,May of 2018,2019,Nie et al. 2019,Y,3,marine,,artisanal fishing,Raman,not described,yes,"(Timestamp('2018-05-01 00:00:00'), Timestamp('2018-05-31 00:00:00'))",0,0,0,0,0,0,0,0,0
472,Neotrygon kuhlii,Blue-spotted stingray,Myliobatiformes,Dasyatidae,3.3,,,,,reef-associated,85.0,,commercial,N,N,DD,52.0,CHIN,May of 2018,2019,Nie et al. 2019,Y,3,marine,,artisanal fishing,Raman,not described,yes,"(Timestamp('2018-05-01 00:00:00'), Timestamp('2018-05-31 00:00:00'))",2,2,2,2,2,2,2,2,2
473,Odonus niger,Red-toothed triggerfish,Tetraodontiformes,Balistidae,3.2,,,,,reef-associated,22.5,,minor commercial,N,N,Not assessed,,CHIN,May of 2018,2019,Nie et al. 2019,Y,3,marine,,artisanal fishing,Raman,not described,yes,"(Timestamp('2018-05-01 00:00:00'), Timestamp('2018-05-31 00:00:00'))",2,2,2,2,2,2,2,2,2
474,Pomacanthus imperator,Emperor angelfish,Perciformes,Pomacanthidae,2.7,0.0,,0.0,0.0,reef-associated,50.0,Benthic foraging,commercial,N,N,LC,68.0,CHIN,May of 2018,2019,Nie et al. 2019,Y,3,marine,,artisanal fishing,Raman,not described,yes,"(Timestamp('2018-05-01 00:00:00'), Timestamp('2018-05-31 00:00:00'))",0,0,0,0,0,0,0,0,0
475,Pseudobalistes fuscus,Yellow-spotted triggerfish,Tetraodontiformes,Balistidae,4.0,,,,,reef-associated,40.0,,commercial,N,N,Not assessed,41.0,CHIN,May of 2018,2019,Nie et al. 2019,Y,3,marine,,artisanal fishing,Raman,not described,yes,"(Timestamp('2018-05-01 00:00:00'), Timestamp('2018-05-31 00:00:00'))",2,2,2,2,2,2,2,2,2
476,Sufflamen fraenatum,Masked triggerfish,Tetraodontiformes,Balistidae,3.7,,,,,reef-associated,97.0,,minor commercial,N,N,LC,34.0,CHIN,May of 2018,2019,Nie et al. 2019,Y,3,marine,,artisanal fishing,Raman,not described,yes,"(Timestamp('2018-05-01 00:00:00'), Timestamp('2018-05-31 00:00:00'))",2,2,2,2,2,2,2,2,2
477,Xanthichthys caeruleolineatus,outrigger triggerfish,Tetraodontiformes,Balistidae,3.5,0.0,,0.0,0.0,reef-associated,107.5,Particulate feeder,commercial,N,N,Not assessed,32.0,CHIN,May of 2018,2019,Nie et al. 2019,Y,3,marine,,artisanal fishing,Raman,not described,yes,"(Timestamp('2018-05-01 00:00:00'), Timestamp('2018-05-31 00:00:00'))",0,0,0,0,0,0,0,0,0
478,Zebrasoma velifer,Sailfin tang,Perciformes,Acanthuridae,2.0,0.0,,0.0,0.0,reef-associated,23.0,Grazing,minor commercial,N,N,LC,37.0,CHIN,May of 2018,2019,Nie et al. 2019,Y,3,marine,,artisanal fishing,Raman,not described,yes,"(Timestamp('2018-05-01 00:00:00'), Timestamp('2018-05-31 00:00:00'))",0,0,0,0,0,0,0,0,0
479,Decapterus muroadsi,Amberstripe scad,Perciformes,Carangidae,3.4,16.0,20.0,0.8,2.0,pelagic-oceanic,160.5,Particulate feeder,commercial,N,N,LC,41.0,SPSG,2015,2017,Ory et al. 2017,Y,2,marine,hand net,artisanal fishing,FTIR,open-air lab control,vaguely mentioned,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2015-12-31 00:00:00'))",1,1,1,1,1,1,1,0,0
480,Cetengraulis mysticetus,Pacific anchoveta,Clupeiformes,Engraulidae,2.5,1.0,40.0,0.025,0.025,pelagic-neritic,16.0,Particulate feeder,highly commercial,N,N,LC,12.0,HUMB,2016,2018,Ory et al. 2018,Y,2,marine,"gillnet, fish market","artisanal fishing, fish market",FTIR,not described,yes,"(Timestamp('2016-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
481,Engraulis ringens,Anchoveta,Clupeiformes,Engraulidae,2.9,1.0,116.0,0.00862069,0.00862069,pelagic-neritic,41.5,Particulate feeder,highly commercial,N,N,LC,17.0,HUMB,2016,2018,Ory et al. 2018,Y,2,marine,"gillnet, fish market","artisanal fishing, fish market",FTIR,not described,yes,"(Timestamp('2016-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
482,Odontesthes regia,Chilean silverside,Atheriniformes,Atherinopsidae,4.0,1.0,9.0,0.111111111,0.111111111,pelagic-neritic,,Particulate feeder,none,N,N,LC,22.0,HUMB,2016,2018,Ory et al. 2018,Y,2,marine,"gillnet, fish market","artisanal fishing, fish market",FTIR,not described,yes,"(Timestamp('2016-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
483,Opisthonema libertate,Pacific thread herring,Clupeiformes,Clupeidae,2.9,2.0,80.0,0.025,0.025,pelagic-neritic,25.0,Filter-feeder: facultative,highly commercial,N,N,LC,25.0,HUMB,2016,2018,Ory et al. 2018,Y,2,marine,"gillnet, fish market","artisanal fishing, fish market",FTIR,not described,yes,"(Timestamp('2016-01-01 00:00:00'), Timestamp('2016-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
