,Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Average depth found,Primary foraging behavior,Commercial status,Aquaculture status,Recreational status,IUCN status,Vulnerability score,Oceanographic province,Year of collection,Publication year,Reference,Quantified microplastic,Method type,Marine/estuarine,Equipment used,Capture purpose,Polymer confirmation,Blanks used,Clean lab procedures used,parsed_date,Risk_0_3,Risk_0_5,Risk_0_10,Risk_0pt5_5,Risk_0pt5_10,Risk_1_5,Risk_1_10,Risk_3_10,Risk_5_10
23,Uranoscopus scaber,Stargazer,Trachiniformes,Uranoscopidae,4.4,7.0,9.0,0.777777778,,demersal,207.5,,minor commercial,N,Y,LC,44.0,MEDI,2014,2017,Avio et al. 2017,Y,3,marine,gillnets,plastic study,FTIR,not described,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
24,Scorpaena sp.,,,,,16.0,19.0,0.842105263,,,,,,,,,,MEDI,2014,2017,Avio et al. 2017,Y,3,marine,gillnets,plastic study,FTIR,not described,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",2,2,2,2,2,2,2,2,2
25,Dendrophysa russelii,Goatee croaker,Perciformes,Sciaenidae,3.5,23.0,41.0,0.56097561,0.88,demersal,,,minor commercial,N,N,Not assessed,17.0,SUND,January 2018-April 2018,2018,Azad et al. 2018,Y,2,marine,,not described,none,not described,yes,"(Timestamp('2018-01-01 00:00:00'), Timestamp('2018-04-01 00:00:00'))",1,1,1,1,1,0,0,0,0
26,Johnius borneensis,Sharpnose hammer croaker,Perciformes,Sciaenidae,3.7,18.0,30.0,0.6,0.9,benthopelagic,66.0,Active predation,minor commercial,N,N,Not assessed,22.0,SUND,January 2018-April 2018,2018,Azad et al. 2018,Y,2,marine,,not described,none,not described,yes,"(Timestamp('2018-01-01 00:00:00'), Timestamp('2018-04-01 00:00:00'))",1,1,1,1,1,0,0,0,0
27,Johnius weberi,Weber's croaker,Perciformes,Sciaenidae,3.4,4.0,7.0,0.571428571,1.14,benthopelagic,,,minor commercial,N,N,Not assessed,15.0,SUND,January 2018-April 2018,2018,Azad et al. 2018,Y,2,marine,,not described,none,not described,yes,"(Timestamp('2018-01-01 00:00:00'), Timestamp('2018-04-01 00:00:00'))",1,1,1,1,1,1,1,0,0
28,Panna microdon,Panna croaker,Perciformes,Sciaenidae,3.6,12.0,27.0,0.444444444,0.85,demersal,,,minor commercial,N,N,Not assessed,31.0,SUND,January 2018-April 2018,2018,Azad et al. 2018,Y,2,marine,,not described,none,not described,yes,"(Timestamp('2018-01-01 00:00:00'), Timestamp('2018-04-01 00:00:00'))",1,1,1,1,1,0,0,0,0
29,Abudefduf sexfasciatus,Scissortail sergeant,Perciformes,Pomacentridae,2.7,1.0,5.0,0.2,0.2,reef-associated,10.5,Particulate feeder,minor commercial,N,N,LC,29.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
30,Acanthurus gahhm,Black surgeonfish,Perciformes,Acanthuridae,2.8,1.0,10.0,0.1,0.1,reef-associated,22.5,Benthic foraging,commercial,N,N,LC,33.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
31,Acanthurus sohal,Sohal surgeonfish,Perciformes,Acanthuridae,2.0,0.0,3.0,0.0,0.0,reef-associated,10.0,Grazing,commercial,N,N,LC,33.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
32,Benthosema pterotum,Skinnycheek lanternfish,Myctophiformes,Myctophidae,3.1,1.0,10.0,0.1,0.1,benthopelagic,155.0,Particulate feeder,minor commercial,N,N,LC,10.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
33,Cephalopholis argus,Peacock hind,Perciformes,Serranidae,4.5,0.0,4.0,0.0,0.0,reef-associated,20.5,Active predation,commercial,N,Y,LC,49.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",0,0,0,0,0,0,0,0,0
34,Chaetodon austriacus,Blacktail butterflyfish,Perciformes,Chaetodontidae,3.3,1.0,10.0,0.1,0.1,reef-associated,8.0,Benthic foraging,commercial,N,N,LC,12.0,REDS,2014,2018,Baalkhuyur et al. 2018,Y,3,marine,various,"plastic study, commercial fishing",FTIR,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2014-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
